Date,		Time,			Longitude,			Latitude,		Satellites,			Altitude,		VDOP,		HDOP,		Recording,		Speed
13/10/2017,	13:21:04,		011.110835,			053.096051,			5,				1.40,			13.30,		7.48,			0,			79.53
13/10/2017,	13:21:05,		011.111168,			053.096037,			5,				0.10,			13.30,		7.48,			0,			77.43
13/10/2017,	13:21:06,		011.111486,			053.096037,			5,				-28.60,			13.30,		7.48,			0,			75.47
13/10/2017,	13:21:07,		011.111798,			053.096033,			5,				-27.30,			13.30,		7.48,			0,			76.22
13/10/2017,	13:21:08,		011.112118,			053.096033,			5,				-27.10,			13.30,		7.47,			0,			75.13
13/10/2017,	13:21:09,		011.112422,			053.096042,			5,				-26.80,			13.29,		7.47,			0,			74.70
13/10/2017,	13:21:10,		011.112727,			053.096066,			5,				-26.40,			13.29,		7.47,			0,			71.93
13/10/2017,	13:21:11,		011.113008,			053.096094,			5,				-25.90,			13.29,		7.47,			0,			73.67
13/10/2017,	13:21:12,		011.113330,			053.096114,			4,				-24.90,			13.67,		7.64,			0,			73.62
13/10/2017,	13:21:13,		011.113637,			053.096141,			4,				-23.80,			13.67,		7.64,			0,			74.96
13/10/2017,	13:21:14,		011.113965,			053.096135,			3,				-23.90,			1.00,		4.89,			0,			73.92
13/10/2017,	13:21:15,		011.114259,			053.096188,			4,				-23.30,			13.67,		7.64,			0,			74.92
13/10/2017,	13:21:16,		011.114577,			053.096224,			4,				-22.40,			13.67,		7.64,			0,			75.38
13/10/2017,	13:21:17,		011.114885,			053.096286,			4,				-21.60,			13.67,		7.63,			0,			75.88
13/10/2017,	13:21:18,		011.115189,			053.096356,			4,				-21.00,			13.67,		7.63,			0,			75.53
13/10/2017,	13:21:19,		011.115460,			053.096459,			5,				-20.50,			13.27,		7.45,			0,			71.52
13/10/2017,	13:21:20,		011.115704,			053.096549,			5,				-290.00,			13.27,		7.45,			0,			73.65
13/10/2017,	13:21:21,		011.115976,			053.096651,			5,				-289.60,			13.27,		7.44,			0,			70.21
13/10/2017,	13:21:22,		011.116200,			053.096754,			4,				-288.60,			14.21,		7.68,			0,			68.37
13/10/2017,	13:21:23,		011.116419,			053.096855,			4,				-288.00,			14.21,		7.67,			0,			68.32
13/10/2017,	13:21:24,		011.116644,			053.096958,			4,				-288.00,			14.20,		7.67,			0,			65.23
13/10/2017,	13:21:25,		011.116839,			053.097056,			4,				-287.80,			14.19,		7.67,			0,			65.16
13/10/2017,	13:21:26,		011.117035,			053.097168,			4,				-287.80,			14.19,		7.67,			0,			66.70
13/10/2017,	13:21:27,		011.117262,			053.097293,			5,				-289.00,			13.25,		7.43,			0,			63.19
13/10/2017,	13:21:28,		011.117470,			053.097387,			4,				-287.90,			14.17,		7.66,			0,			63.32
13/10/2017,	13:21:29,		011.117659,			053.097506,			4,				-286.60,			14.16,		7.66,			0,			64.74
13/10/2017,	13:21:30,		011.117840,			053.097635,			4,				-286.30,			14.16,		7.65,			0,			65.09
