Date,		Time,			Longitude,			Latitude,		Satellites,			Altitude,		VDOP,		HDOP,		Recording,		Speed
09/10/2017,	14:07:11,		010.999592,			053.134351,			6,				-27.50,			8.13,		3.04,			0,			1.99
09/10/2017,	14:07:12,		010.999611,			053.134353,			6,				-28.00,			8.12,		3.03,			0,			0.00
09/10/2017,	14:09:37,		010.999854,			053.135327,			8,				58.00,			2.35,		1.07,			0,			3.27
09/10/2017,	14:09:38,		010.999862,			053.135317,			8,				52.20,			2.35,		1.07,			0,			3.72
09/10/2017,	14:09:39,		010.999869,			053.135319,			8,				49.90,			2.35,		1.07,			0,			3.24
09/10/2017,	14:09:40,		010.999874,			053.135322,			8,				48.30,			2.36,		1.07,			0,			4.76
09/10/2017,	14:09:41,		010.999874,			053.135336,			8,				49.30,			2.36,		1.07,			0,			3.19
09/10/2017,	14:09:42,		010.999875,			053.135341,			8,				48.70,			2.36,		1.07,			0,			4.00
09/10/2017,	14:09:43,		010.999879,			053.135349,			8,				48.00,			2.36,		1.07,			0,			3.75
09/10/2017,	14:09:44,		010.999885,			053.135354,			8,				46.00,			2.36,		1.07,			0,			4.29
09/10/2017,	14:09:45,		010.999886,			053.135369,			8,				47.70,			2.36,		1.07,			0,			3.01
09/10/2017,	14:09:46,		010.999891,			053.135370,			8,				46.10,			2.36,		1.07,			0,			3.11
09/10/2017,	14:09:47,		010.999894,			053.135375,			8,				45.10,			2.36,		1.07,			0,			4.52
09/10/2017,	14:09:48,		010.999896,			053.135392,			8,				47.30,			2.36,		1.07,			0,			3.85
09/10/2017,	14:09:49,		010.999906,			053.135399,			8,				46.30,			2.36,		1.07,			0,			3.62
09/10/2017,	14:09:50,		010.999913,			053.135406,			8,				46.00,			2.36,		1.07,			0,			4.55
09/10/2017,	14:09:51,		010.999917,			053.135417,			8,				46.10,			2.36,		1.07,			0,			4.76
09/10/2017,	14:09:52,		010.999918,			053.135430,			8,				46.80,			2.37,		1.07,			0,			3.88
09/10/2017,	14:09:53,		010.999922,			053.135437,			8,				46.10,			2.37,		1.07,			0,			3.67
09/10/2017,	14:09:54,		010.999925,			053.135446,			8,				46.40,			2.37,		1.07,			0,			3.67
09/10/2017,	14:09:55,		010.999926,			053.135455,			8,				46.20,			2.37,		1.07,			0,			2.68
09/10/2017,	14:09:56,		010.999929,			053.135458,			8,				45.00,			2.37,		1.07,			0,			4.15
09/10/2017,	14:09:57,		010.999938,			053.135465,			8,				43.50,			2.37,		1.07,			0,			4.46
09/10/2017,	14:09:58,		010.999942,			053.135475,			8,				43.50,			2.37,		1.07,			0,			4.44
09/10/2017,	14:09:59,		010.999953,			053.135485,			8,				43.10,			2.37,		1.07,			0,			4.88
09/10/2017,	14:10:00,		010.999960,			053.135492,			8,				41.40,			2.37,		1.07,			0,			4.67
09/10/2017,	14:10:01,		010.999967,			053.135504,			8,				41.20,			2.37,		1.07,			0,			6.10
09/10/2017,	14:10:02,		010.999973,			053.135519,			8,				41.40,			2.37,		1.07,			0,			4.08
09/10/2017,	14:10:03,		010.999976,			053.135526,			8,				40.40,			2.37,		1.07,			0,			4.10
09/10/2017,	14:10:04,		010.999980,			053.135535,			8,				40.30,			2.38,		1.07,			0,			2.74
09/10/2017,	14:10:05,		010.999982,			053.135542,			8,				40.50,			2.38,		1.07,			0,			2.16
09/10/2017,	14:10:06,		010.999985,			053.135546,			8,				39.80,			2.38,		1.07,			0,			2.09
09/10/2017,	14:10:07,		010.999987,			053.135552,			8,				39.90,			2.38,		1.07,			0,			1.90
09/10/2017,	14:10:08,		010.999990,			053.135554,			8,				39.00,			2.38,		1.07,			0,			4.12
